station;Date;Pression-mer;varia-pres-3h;Direc_ vent_M_10min;Vitesse_vent_moyen 10 mn;Température;Humidité;Visibilité horizontale;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Pression station;Variation de pression en 24 heures;Température minimale sur 12 heures;Température maximale sur 12 heures;Température minimale du sol sur 12 heures;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Précipitations_ 6hrs;Précipitations_12hrs;Précipitations24hrs;Nébulosité couche nuageuse 1;Coordonnees;lieu
7643;2017-09-19 14:00:00+02:00;101920;-90;270;11,2;292,85;48;60000;75;6;2250;101830;210;;;282.650000;15.200000;15.200000;-10;0.000000;0;1,2;2;43.577, 3.963167;MONTPELLIER
7643;2017-05-18 05:00:00+02:00;101560;-150;40;2,5;288,65;77;19440;100;7;250;101460;-780;;;290.650000;3.200000;3.300000;-10;0.000000;0;0;7;43.577, 3.963167;MONTPELLIER
7643;2017-05-20 20:00:00+02:00;102180;20;300;9,7;294,55;33;10910;;0;;102090;340;286.750000;296.750000;288.850000;13.600000;13.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-21 17:00:00+02:00;101960;-80;170;4,2;297,35;38;23620;;0;;101870;-200;;;288.150000;5.100000;6.200000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-23 08:00:00+02:00;101870;70;10;1;289,95;80;19730;;0;;101770;-80;286.650000;292.950000;289.550000;1.500000;2.200000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-23 11:00:00+02:00;101910;50;180;1,5;298,05;58;57960;;0;;101820;-100;;;289.550000;2.400000;2.500000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-28 05:00:00+02:00;102020;-10;20;2,3;287,85;77;40030;;0;;101920;140;;;291.150000;2.600000;2.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-28 08:00:00+02:00;102080;60;30;2,6;290,75;71;36090;;0;;101980;90;287.450000;296.150000;290.650000;3.600000;4.200000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-29 14:00:00+02:00;101740;0;160;3,9;297,95;49;47640;;0;;101650;-380;;;290.350000;5.000000;5.100000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-01 05:00:00+02:00;101940;-80;10;1,7;291,75;82;18940;;2;4140;101850;100;;;290.150000;3.000000;3.900000;-10;0.000000;0;0;2;43.577, 3.963167;MONTPELLIER
7643;2017-06-01 23:00:00+02:00;102010;60;170;1,7;293,75;85;17130;;4;450;101920;-30;;;293.050000;2.500000;3.700000;-10;0.000000;1,4;1,4;4;43.577, 3.963167;MONTPELLIER
7643;2017-06-03 02:00:00+02:00;101700;-40;220;1,9;293,75;86;17840;;1;450;101610;-230;;;292.750000;2.700000;4.200000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-06-04 23:00:00+02:00;101510;230;50;2,4;294,15;62;59340;100;8;1750;101420;-180;;;294.150000;3.300000;5.600000;-10;-0.100000;-0,1;-0,1;8;43.577, 3.963167;MONTPELLIER
7643;2017-08-09 20:00:00+02:00;101680;100;300;8,1;294,25;53;60000;100;8;2640;101590;250;292.150000;302.550000;292.250000;11.200000;11.200000;-10;-0.100000;-0,1;-0,1;7;43.577, 3.963167;MONTPELLIER
7643;2017-08-19 14:00:00+02:00;101780;-130;300;2,9;302,45;22;49920;;0;;101690;250;;;293.950000;5.900000;7.100000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-11-28 07:00:00+01:00;101950;-110;360;2,8;275,25;79;45560;100;2;800;101850;-1040;273.550000;279.550000;274.850000;4.400000;4.400000;-10;0.000000;0;0;2;43.577, 3.963167;MONTPELLIER
7643;2017-08-25 11:00:00+02:00;101950;40;90;5;297,75;73;19880;90;1;450;101860;50;;;295.050000;7.100000;7.100000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-08-30 11:00:00+02:00;101450;30;130;2,7;296,55;91;9550;100;8;80;101360;-60;;;298.050000;4.100000;6.300000;-10;0.000000;0;0;8;43.577, 3.963167;MONTPELLIER
7643;2017-12-05 13:00:00+01:00;103470;-70;10;2,2;285,85;40;58660;;0;;103370;300;;;272.350000;4.600000;5.900000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-12-08 04:00:00+01:00;102340;-200;340;1,8;279,15;89;7560;100;8;1750;102240;-840;;;276.450000;2.200000;2.300000;-10;-0.100000;-0,1;-0,1;6;43.577, 3.963167;MONTPELLIER
7643;2017-12-13 19:00:00+01:00;101780;-90;260;1,3;281,15;67;28090;100;1;1250;101680;-80;270.650000;284.050000;272.150000;1.600000;2.000000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-12-16 19:00:00+01:00;101920;250;300;5,8;280,25;57;60000;;0;;101820;1380;278.150000;285.050000;276.950000;7.800000;10.500000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-05 14:00:00+02:00;101560;-40;140;4,6;291,75;67;38870;;0;;101470;80;;;285.550000;6.600000;6.600000;-10;0.200000;0,2;0,2;;43.577, 3.963167;MONTPELLIER
7643;2017-05-08 05:00:00+02:00;101740;-100;310;3,7;287,15;59;60000;;0;;101640;-160;;;286.750000;4.400000;5.300000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-06 11:00:00+02:00;101160;110;300;5,6;298,45;41;19290;;0;;101070;-230;;;287.650000;8.600000;9.000000;-10;0.000000;0;;;43.577, 3.963167;MONTPELLIER
7643;2017-06-11 17:00:00+02:00;101730;-90;170;3,5;298,65;56;41770;;0;;101640;100;;;291.650000;5.000000;5.000000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-12 17:00:00+02:00;101420;-150;210;6,8;305,35;45;31050;;0;;101330;-310;;;292.350000;9.700000;9.700000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-13 02:00:00+02:00;101410;10;10;1,9;297,55;71;30430;;0;;101320;-260;;;296.850000;2.500000;2.800000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-15 08:00:00+02:00;101560;80;30;1,2;296,95;85;7810;;0;;101470;80;294.550000;297.550000;294.650000;1.700000;1.700000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-18 23:00:00+02:00;101940;170;180;1;296,55;80;18810;;0;;101850;390;;;296.250000;1.700000;4.400000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-19 20:00:00+02:00;101950;-80;140;2,8;297,25;82;19950;;1;450;101860;180;296.150000;300.250000;299.550000;4.100000;4.500000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-11-15 01:00:00+01:00;102040;-100;320;4;277,05;63;45910;;0;;101940;340;;;276.550000;4.400000;4.400000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
